code,food_name_text,edible_portion_coefficient,energy_kcal,energy_kj,water_g,protein_g,fat_g,carbohydrate_available_g,total_dietary_fibre_g,ash_g,calcium_mg,iron_mg,magnesium_mg,phosphorus_mg,potassium_mg,sodium_mg,zinc_mg,copper_mg,vitamin_a_mcg,retinol_mcg,beta_carotene_equiv_mcg,vitamin_d_mcg,vitamin_e_mg,thiamin_mg,riboflavin_mg,niacin_equiv_mg,vitamin_b6_mg,folate_mcg,vitamin_c_mg,source_pages
11_0003,"Egg, chicken, native, yolk, raw",1,325,1350,51.9,16,27.8,2.6,0,1.7,120,4.8,11,477,113,48,3.33,0.13,496,486,124,5.4,4.16,0.23,0.49,4.1,0.3,109,0,"136,137"
11_0004,"Egg, duck, whole, raw Hasher dim",0.89,188,782,69.7,13.5,14.3,1.4,0,1.1,65,2.4,11,220,222,134,1.41,0.06,362,360,21,1.8,1.39,0.12,0.26,4.7,0.25,80,0,"136,137"
11_0005,"Egg, chicken, farmed, boiled* (without Murgir dim siddha, lobon",0.87,158,658,68.5,16.5,10.2,0,0,0.9,35,1.8,24,238,120,128,2.54,0.33,178,178,0,2,0.94,0.17,0.36,3.4,0.136,45,0,"136,137"
11_0006,"Egg, chicken, native, boiled* (without Deshi murgir dim siddha,",0.87,179,745,72.9,15.1,13.2,0,0,1,68,1.9,13,238,105,148,2.19,0.33,229,229,0,2.6,1.36,0.17,0.36,3.4,0.136,45,0,"136,137"
11_0007,"Egg, duck, whole, boiled* (without salt)",0.89,214,889,65.6,15.3,16.2,1.6,0,1.2,73,2.7,13,238,240,147,1.52,0.07,391,389,22,1.9,1.58,0.11,0.24,4.5,0.227,73,0,"136,137"
12_0001,"Buttermilk, fluid, low fat Ghol",1,33,137,92.2,3.4,0.7,3.1,0,0.6,103,0,12,92,152,68,0.41,0.01,8,8,1,0,0.01,0.04,0.17,0.9,0.042,6,0.7,"140,141,142"
12_0002,"Cheese, cottage, 25% fat Poneer",1,346,1440,40.3,24.6,25.1,5.4,0,4.6,790,0.3,22,414,83,509,3.55,0.03,25,205,190,182,0.3,0.49,0.02,0.47,6.5,40,0,"140,141,142"
12_0003,"Curd, sweetened, whole milk Doi, misti",1,94,396,80.6,3.2,4,11.4,0,0.8,103,0.1,13,90,131,51,0.45,0.05,32,31,14,0,0.08,0.05,0.16,0.8,0.053,9,1,"140,141,142"
12_0004,"Milk, buffalo, whole fat Mohiser dudh",1,101,421,83.3,3.8,7.5,4.7,0,0.8,206,0.2,18,246,178,52,0.22,0.05,,,,,,,,,,,,"140,141,142"
12_0005,"Milk, cow, powder, skimmed",1,358,1520,3.8,37.6,1,49.8,0,7.9,1370,1.1,110,956,1600,435,4.7,0.1,0,0,0,0,0.1,0.45,1.64,9.7,0.645,21,5,"140,141,142"
12_0006,"Milk, cow, powder, whole",1,497,2080,3.2,26.6,26.7,37.5,0,5.9,959,0.7,92,758,1180,365,3.71,0.06,238,228,124,0,0.59,0.31,1.37,6.8,0.276,38,10.7,"140,141,142"
12_0007,"Milk, cow, skimmed",1,30,125,92.1,3.1,0.1,4.1,0,0.6,103,0.1,13,90,131,51,0.45,0.05,0,0,0,0,0.01,0.06,0.28,0.8,0.053,9,1,"140,141,142"
12_0008,"Milk, cow, whole fat (pasteurized, UTH)",1,63,263,88.3,3.1,3.7,4.3,0,0.6,103,0.1,13,90,131,51,0.45,0.05,32,30,16,0,0.08,0.06,0.28,0.8,0.053,9,2,"140,141,142"
12_0009,"soho Milk, cow, whole, condensed, Kondense milk, Goru, chini",1,334,1410,26.5,8.2,9.4,54,0,1.8,287,0.2,28,247,366,134,0.97,0.02,95,92,42,0.2,0.19,0.09,0.44,2.3,0.051,13,3.3,"140,141,142"
12_0010,"Milk, goat, combined breeds Chagoler dudh",1,68,285,87.2,3.5,4.1,4.3,0,0.9,152,0.2,14,111,204,50,0.3,0.05,32,30,18,0.06,0.03,0.05,0.09,1,0.046,1,1.2,"140,141,142"
12_0011,"Milk, human, colostrum, raw Shaldudh",1,58,242,88.2,2,2.6,6.6,0,0.6,28,0.1,3,14,70,47,0.6,0.05,166,155,135,0,1.3,0,0.03,1,0,2,7,"140,141,142"
12_0012,"Milk, human, mature, raw Mayer dudh",1,69,260,87.4,1.2,4,7.2,0,0.2,32,0.1,3,15,56,16,0.26,0.04,56,54,19,0.1,0.34,0.02,0.03,0.7,0.01,5,4.3,"140,141,142"
